USN,Version,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c
1RV21CS100,A,1,1,1,0,1,0,1,1,1,,,,,,,5,5,,4,6,,5,4,,5,3,,6,4,
1RV21CS077,A,1,0,0,1,1,1,0,1,1,,,,,,,5,5,,4,5,,5,4,,3,3,,6,4,
1RV21CS131,A,1,2,1,1,1,1,1,1,1,,,,,,,5,5,,4,6,,5,5,,5,5,,6,4,
1RV21CS128,A,0,2,0,1,1,1,1,0,1,,,,,,,4,5,,4,4,,5,2,,3,4,,6,3,
